question,references,corpus_id
What modifications can be made using the evaluation_metrics parameter in RLlibCallback.on_evaluate_end?,"[{""content"": ""recent evaluation round.\nevaluation_metrics \u2013 Results dict to be returned from algorithm.evaluate().\nYou can mutate this object to add additional metrics.\nkwargs \u2013 Forward "", ""start_index"": 468, ""end_index"": 640}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.callbacks.callbacks.RLlibCallback.on_evaluate_end.txt
What functionality does the ray.util.ActorPool utility provide?,"[{""content"": ""\n\nUtility#\n\n\nray.util.ActorPool\nUtility class to operate on a fixed pool of actors.\n\nray.util.queue.Queue\nA first-in, first-out queue implementation on "", ""start_index"": 0, ""end_index"": 152}]",datasets/raydocs_full/ray-core_api_utility.txt
What does the MultiRLModule class assume about the communication between its underlying RLModules?,"[{""content"": ""corresponding RLModule object with the associated batch within the\ninput.\nIt also assumes that the underlying RLModules do not share any parameters or\ncommunication with one another. The behavior of "", ""start_index"": 1315, ""end_index"": 1514}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.core.rl_module.multi_rl_module.MultiRLModule.txt
What is the role of MultiRLModule in handling different RLModules?,"[{""content"": ""RLModule that contains n sub-RLModules.\nThis class holds a mapping from ModuleID to underlying RLModules. It provides\na convenient way of accessing each individual module, as well as accessing all of\nthem with only one API call. Whether a given module is trainable is\ndetermined by the caller "", ""start_index"": 443, ""end_index"": 736}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.core.rl_module.multi_rl_module.MultiRLModule.txt
What are the required functions for implementing the InferenceOnlyAPI in an RLModule?,"[{""content"": ""ray.rllib.core.rl_module.apis.inference_only_api.InferenceOnlyAPI[source]#\nAn API to be implemented by RLModules that have an inference-only mode.\nOnly the get_non_inference_attributes method needs to get implemented for\nan RLModule to have the following functionality:\n- On EnvRunners (or when "", ""start_index"": 5535, ""end_index"": 5830}, {""content"": ""stribution for\neither Q-values or advantages (in case of a dueling architecture),\n(\u201catoms\u201d), the logits per action and atom and the probabilities\nof the discrete distribution (per action and atom of the support).\n\n\n\n\n\n\nSelfSupervisedLossAPI#\n\n\nclass ray.rllib.core.rl_module.apis.self_supervised_l"", ""start_index"": 9280, ""end_index"": 9577}]",datasets/raydocs_full/rllib_package_ref_rl_modules.txt
What happens if the learner class in AlgorithmConfig is not set by the user?,"[{""content"": ""User leaves learner class unset (None) and the AlgorithmConfig itself\nfigures out the actual learner class by calling its own\n.get_default_learner_class() method.\n\n\n"", ""start_index"": 273, ""end_index"": 466}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.algorithms.algorithm_config.AlgorithmConfig.learner_class.txt
What are the alternative methods to set a learner class for the AlgorithmConfig?,"[{""content"": ""Algorithm.\nEither\na) User sets a specific learner class via calling .training(learner_class=...)\nb) User leaves learner class unset (None) and the AlgorithmConfig itself\nfigures out the actual learner class by calling its own\n.get_default_learner_class() method.\n\n\n"", ""start_index"": 173, ""end_index"": 466}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.algorithms.algorithm_config.AlgorithmConfig.learner_class.txt
Why should secret credentials not be included in URIs for runtime_env in Ray?,"[{""content"": ""secret credential that authenticates this URI. While Ray can successfully access your dependencies using authenticated URIs, you should not include secret credentials in your URIs for two reasons:\n\nRay may log the URIs used in your runtime_env, which means the Ray logs could contain your credentials.\nRay stores your remote dependency package in a local directory, and it uses a parsed version of the remote URI\u2013including your credential\u2013as the directory\u2019s name.\n\nIn short, your "", ""start_index"": 924, ""end_index"": 1404}]",datasets/raydocs_full/ray-core_runtime_env_auth.txt
What is the preferred method for authenticating remote URIs in a Ray runtime environment?,"[{""content"": ""parsed version of the remote URI\u2013including your credential\u2013as the directory\u2019s name.\n\nIn short, your remote URI is not treated as a secret, so it should not contain secret info. Instead, use a netrc file.\n\n\nRunning on VMs: the netrc File#\nThe netrc file contains credentials that Ray uses to "", ""start_index"": 1304, ""end_index"": 1595}]",datasets/raydocs_full/ray-core_runtime_env_auth.txt
How can KubeRay utilize the netrc file to authenticate remote URIs?,"[{""content"": ""when they don\u2019t contain credentials.\n\n\nRunning on KubeRay: Secrets with netrc#\nKubeRay can also obtain credentials from a netrc file for remote URIs. Supply your netrc file using a Kubernetes secret and a Kubernetes volume with these steps:\n1. Launch your Kubernetes cluster.\n2. Create the netrc file locally in your home directory.\n3. Store the netrc file\u2019s contents as a Kubernetes secret on your cluster:\nkubectl create secret generic netrc-secret --from-file=.netrc=\""$HOME/.netrc\""\n\n\n4. Expose the secret to your KubeRay application using a mounted volume, and update the NETRC environment variable to point to the netrc file. Include the following YAML in your KubeRay config.\nheadGroupSpec:\n    ...\n    containers:\n        - name: ...\n          image: rayproject/ray:latest\n          ...\n          volumeMounts:\n            - mountPath: \""/home/ray/netrcvolume/\""\n              name: netrc-kuberay\n              readOnly: true\n          env:\n            - name: NETRC\n              value: \""/home/ray/netrcvolume/.netrc\""\n    volumes:\n        - name: netrc-kuberay\n          secret:\n            secretName: netrc-secret\n\nworkerGroupSpecs:\n    ...\n    containers:\n        - name: ...\n          image: rayproject/ray:latest\n          ...\n          volumeMounts:\n            - mountPath: \""/home/ray/netrcvolume/\""\n              name: netrc-kuberay\n              readOnly: true\n          env:\n            - name: NETRC\n              value: \""/home/ray/netrcvolume/.netrc\""\n    volumes:\n        - name: netrc-kuberay\n          secret:\n            secretName: netrc-secret\n\n\n5. Apply your KubeRay config.\nYour KubeRay application can use the netrc file to access private remote URIs, even when they don\u2019t contain credentials.\n\n\n"", ""start_index"": 2274, ""end_index"": 4055}]",datasets/raydocs_full/ray-core_runtime_env_auth.txt
What are the examples of batch inference workloads using PyTorch mentioned in the text?,"[{""content"": ""data processing with a variety of frameworks and use cases.BeginnerFrameworkExamplePyTorchImage Classification Batch Inference with PyTorch ResNet152PyTorchObject Detection Batch Inference with "", ""start_index"": 97, ""end_index"": 291}, {""content"": "" PyTorch FasterRCNN_ResNet50TransformersImage Classification Batch Inference with Hugging Face Vision TransformervLLMBatch Inference with LoRA AdaptervLLMBatch Inference with Structural Output"", ""start_index"": 290, ""end_index"": 482}]",datasets/raydocs_full/data_examples.txt
What tasks can be accomplished with Hugging Face Vision Transformer according to the text?,"[{""content"": ""PyTorch FasterRCNN_ResNet50TransformersImage Classification Batch Inference with Hugging Face Vision TransformervLLMBatch Inference with LoRA AdaptervLLMBatch Inference with Structural "", ""start_index"": 291, ""end_index"": 476}]",datasets/raydocs_full/data_examples.txt
What does 'MultiRLModuleSpec.build' return when 'module_id' is not provided?,"[{""content"": ""provided, otherwise the built\nMultiRLModule.\n\n\n\n\n"", ""start_index"": 387, ""end_index"": 487}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.core.rl_module.multi_rl_module.MultiRLModuleSpec.build.txt
What kinds of data will not be collected according to the collection policy?,"[{""content"": ""have control over your data, and we will honor requests to delete your data.\nWe will not collect any personally identifiable data or proprietary code/data\nWe will not sell data or buy data about "", ""start_index"": 667, ""end_index"": 862}]",datasets/raydocs_full/cluster_usage-stats.txt
How can a user disable usage stats collection for a Ray cluster?,"[{""content"": ""UsageStatsToReport class to see the data we collect.\n\n\nHow to disable it#\nThere are multiple ways to disable usage stats collection before starting a cluster:\n\nAdd --disable-usage-stats option to the command that starts the Ray cluster (e.g., ray start --head --disable-usage-stats command).\nRun ray disable-usage-stats to disable collection for all future clusters. This won\u2019t affect currently running clusters. Under the hood, this command writes {\""usage_stats\"": true} to the global config file ~/.ray/config.json.\nSet the environment variable RAY_USAGE_STATS_ENABLED to 0 (e.g., RAY_USAGE_STATS_ENABLED=0 ray start --head command).\nIf you\u2019re using KubeRay, you can add disable-usage-stats: 'true' to .spec.[headGroupSpec|workerGroupSpecs].rayStartParams..\n\nCurrently "", ""start_index"": 1181, ""end_index"": 1951}]",datasets/raydocs_full/cluster_usage-stats.txt
What are the specific drawbacks of online inference solutions like Bento ML and Sagemaker Batch Transform?,"[{""content"": ""it easy to write performant inference code and can abstract away infrastructure complexities. But they are designed for online inference rather than offline batch inference, which are two different problems with different sets of requirements. These solutions introduce additional complexity like HTTP, and cannot effectively handle large datasets leading inference service providers like Bento ML to integrating with Apache Spark for offline inference.\nRay Data is built for offline batch "", ""start_index"": 1087, ""end_index"": 1577}]",datasets/raydocs_full/data_comparisons.txt
Which specific solutions provide online inference capabilities?,"[{""content"": ""fer of data from storage to CPU to GPU.\n\n\n\nOnline inference solutions: Bento ML, Sagemaker Batch Transform\n\n\n\n\nSolutions like Bento ML, Sagemaker Batch Transform, or Ray Serve provide APIs to make "", ""start_index"": 890, ""end_index"": 1087}]",datasets/raydocs_full/data_comparisons.txt
What are the advantages of using Ray Data for batch processing?,"[{""content"": ""service providers like Bento ML to integrating with Apache Spark for offline inference.\nRay Data is built for offline batch jobs, without all the extra complexities of starting servers or sending HTTP requests.\nFor a more detailed performance comparison between Ray Data and Sagemaker Batch "", ""start_index"": 1453, ""end_index"": 1744}, {""content"": "" Ray Data compare to other solutions for ML training ingest?#\n\n\nPyTorch Dataset and DataLoader\n\n\n\n\n\nFramework-agnostic: Datasets is framework-agnostic and portable between different distributed"", ""start_index"": 2315, ""end_index"": 2508}]",datasets/raydocs_full/data_comparisons.txt
What are the primary functions of Ray Tune in hyperparameter tuning?,"[{""content"": ""tuning comes into play. By using tuning libraries such as\nRay Tune we can try out combinations of hyperparameters. Using sophisticated search\nstrategies, these parameters can be selected so that they are likely to lead to good\nresults (avoiding an expensive exhaustive search). Also, trials that do not perform\nwell can be preemptively stopped to reduce waste of computing resources. Lastly, Ray Tune\nalso takes care of training these runs in parallel, greatly increasing search "", ""start_index"": 11075, ""end_index"": 11554}]",datasets/raydocs_full/tune_examples_tune-xgboost.txt
What is the default value for the maximum tree depth in XGBoost?,"[{""content"": ""and 6 is often a good starting point for this parameter.\nXGBoost\u2019s default value is 3.\n\n\nMinimum "", ""start_index"": 6573, ""end_index"": 6670}]",datasets/raydocs_full/tune_examples_tune-xgboost.txt
What are some key advantages of using XGBoost for machine learning?,"[{""content"": ""xgboost\n\n\n\n\nWhat is XGBoost#\nXGBoost (eXtreme Gradient Boosting) is a powerful and efficient implementation of gradient boosted decision trees. It has become one of the most popular machine learning algorithms due to its:\n\nPerformance: Consistently strong results across many types of problems\nSpeed: Highly optimized implementation that can leverage GPU acceleration\nFlexibility: Works with many types of prediction problems (classification, regression, ranking)\n\nKey "", ""start_index"": 967, ""end_index"": 1436}]",datasets/raydocs_full/tune_examples_tune-xgboost.txt
What issues arise from forking new processes in Ray application code?,"[{""content"": ""processes for you. Ray Objects, Tasks, and\nActors manages sockets to communicate with the Raylet and the GCS. If you fork new\nprocesses in your application code, the processes could share the same sockets without\nany synchronization. This can lead to corrupted message and unexpected\nbehavior.\nThe solution is to:\n1. use \u201cspawn\u201d method to start new processes so that "", ""start_index"": 295, ""end_index"": 662}]",datasets/raydocs_full/ray-core_patterns_fork-new-processes.txt
What are the recommended methods to start new processes in Ray application code?,"[{""content"": ""application code-for example, in\ndriver, tasks or actors. Instead, use \u201cspawn\u201d method to start new processes or use Ray\ntasks and actors to parallelize your workload\nRay manages the lifecycle of "", ""start_index"": 100, ""end_index"": 295}, {""content"": "" process\u2019s\nmemory space isn\u2019t copied to the child processes or\n2. use Ray tasks and\nactors to parallelize your workload and let Ray to manage the lifecycle of the\nprocesses for you.\n\nCode example#\nimport os\n\nos.environ[\""RAY_DEDUP_LOGS\""] = \""0\""\n\nimport ray\nfrom concurrent.futures import Pr"", ""start_index"": 668, ""end_index"": 956}]",datasets/raydocs_full/ray-core_patterns_fork-new-processes.txt
What is the expected behavior when setting environment variables on the Driver in Ray?,"[{""content"": ""1\n\n\nray.get(myfunc.remote())\n# this prints: \""myenv is None\""\n\n\nExpected behavior: Users may expect that setting environment variables on the Driver sends them to all Worker processes as if running "", ""start_index"": 815, ""end_index"": 1011}]",datasets/raydocs_full/ray-observability_user-guides_debug-apps_general-debugging.txt
What exception is raised by MultiRLModule.remove_module when a specified module ID does not exist?,"[{""content"": ""not\nfound.\n\n\nRaises:\nValueError \u2013 If the module ID does not exist and raise_err_if_not_found is\n    True.\n\n\n\n\n"", ""start_index"": 353, ""end_index"": 553}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.core.rl_module.multi_rl_module.MultiRLModule.remove_module.txt
What parameter determines if an error is raised when a module ID is not found using MultiRLModule.remove_module?,"[{""content"": ""remove.\nraise_err_if_not_found \u2013 Whether to raise an error if the module ID is not\nfound.\n\n\nRaises:\nValueError \u2013 If the module ID does not exist and raise_err_if_not_found is\n    "", ""start_index"": 274, ""end_index"": 453}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.core.rl_module.multi_rl_module.MultiRLModule.remove_module.txt
What function in MultiRLModule is used to remove a module at runtime?,"[{""content"": ""\n\nray.rllib.core.rl_module.multi_rl_module.MultiRLModule.remove_module#\n\n\nMultiRLModule.remove_module(module_id: str, *, raise_err_if_not_found: bool = True) \u2192 None[source]#\nRemoves a module at "", ""start_index"": 0, ""end_index"": 194}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.core.rl_module.multi_rl_module.MultiRLModule.remove_module.txt
What does the function 'convert_to_torch_tensor' do with None values in the input structure?,"[{""content"": ""Tensor.to().\n\n\nReturns:\nA new structure with the same layout as x but with all leaves converted\nto torch.Tensors. Leaves that are None are left unchanged.\n\n\n\n\n"", ""start_index"": 664, ""end_index"": 863}]",datasets/raydocs_full/rllib_package_ref_doc_ray.rllib.utils.torch_utils.convert_to_torch_tensor.txt
